date,open,high,low,close,volume,ticker,ma200
2026-08-24,565.5999755859375,578.0,565.4000244140625,569.2000122070312,922782,BOL.ST,539.3389990234376
2026-08-17,62.70000076293945,63.5,61.0,61.0,42274,BORG.ST,64.15450012207032
2026-08-18,61.0,62.099998474121094,59.599998474121094,59.599998474121094,32342,BORG.ST,64.13250011444093
2026-08-19,60.099998474121094,60.099998474121094,58.79999923706055,58.900001525878906,33302,BORG.ST,64.10800012588501
2026-08-20,59.29999923706055,59.29999923706055,58.0,58.5,29404,BORG.ST,64.08100011825563
2026-08-21,58.70000076293945,61.0,58.70000076293945,60.70000076293945,29498,BORG.ST,64.06700012207033
2026-08-24,60.400001525878906,60.400001525878906,60.0,60.099998474121094,11543,BORG.ST,64.04850011825562
2026-08-17,132.3000030517578,132.6999969482422,131.3000030517578,131.8000030517578,267796,BRAV.ST,103.70874984741211
2026-08-18,131.1999969482422,133.60000610351562,130.6999969482422,131.89999389648438,343031,BRAV.ST,103.95474983215333
2026-08-19,131.89999389648438,133.10000610351562,131.6999969482422,132.60000610351562,194665,BRAV.ST,104.2052498626709
2026-08-20,131.39999389648438,132.89999389648438,131.39999389648438,132.39999389648438,170668,BRAV.ST,104.45949981689454
2026-08-21,132.6999969482422,136.1999969482422,132.3000030517578,135.3000030517578,172057,BRAV.ST,104.7274998474121
2026-08-24,136.0,136.39999389648438,133.1999969482422,134.10000610351562,247832,BRAV.ST,104.99499988555908
2026-08-17,184.0,189.0,182.0,184.60000610351562,65459,BTS-B.ST,155.13899978637693
2026-08-18,182.60000610351562,188.60000610351562,182.1999969482422,185.0,3958,BTS-B.ST,155.11199981689452
2026-08-19,185.39999389648438,185.39999389648438,179.1999969482422,183.0,4905,BTS-B.ST,155.07099983215332
2026-08-20,183.8000030517578,188.0,182.8000030517578,183.1999969482422,16067,BTS-B.ST,155.03699981689454
2026-08-21,183.39999389648438,186.39999389648438,181.8000030517578,183.60000610351562,8077,BTS-B.ST,155.0189998626709
2026-08-24,183.0,183.60000610351562,180.39999389648438,182.8000030517578,18408,BTS-B.ST,154.99099990844726
2026-08-17,136.0,136.0,134.6999969482422,135.0500030517578,1467075,CAST.ST,116.57575023651125
2026-08-18,134.6999969482422,135.89999389648438,134.1999969482422,135.25,2334504,CAST.ST,116.69150024414064
2026-08-19,135.0500030517578,135.35000610351562,133.64999389648438,135.35000610351562,913288,CAST.ST,116.81550025939943
2026-08-20,134.64999389648438,134.9499969482422,133.10000610351562,133.60000610351562,1458783,CAST.ST,116.93575027465822
2026-08-21,133.25,134.0,132.3000030517578,133.0,1378243,CAST.ST,117.05475028991701
2026-08-24,133.0,134.5500030517578,133.0,133.89999389648438,1814567,CAST.ST,117.18500026702883
2026-08-17,395.0,395.0,386.20001220703125,388.20001220703125,70734,CATE.ST,439.5890002441406
2026-08-18,388.0,393.6000061035156,386.79998779296875,390.79998779296875,44777,CATE.ST,439.1780001831055
2026-08-19,392.20001220703125,392.3999938964844,385.6000061035156,388.20001220703125,32205,CATE.ST,438.7740002441406
2026-08-20,388.3999938964844,391.0,387.3999938964844,388.20001220703125,29853,CATE.ST,438.38500030517577
2026-08-21,388.0,392.79998779296875,387.0,388.20001220703125,41248,CATE.ST,438.01100036621096
2026-08-24,388.20001220703125,393.3999938964844,387.0,389.79998779296875,42591,CATE.ST,437.65700027465823
2026-08-17,143.5,143.5,141.89999389648438,142.0,270149,CIBUS.ST,150.58425033569338
2026-08-18,142.0,142.4499969482422,141.5,141.5,228504,CIBUS.ST,150.4512503051758
2026-08-19,141.64999389648438,141.89999389648438,140.3000030517578,141.25,252526,CIBUS.ST,150.3267503356934
2026-08-20,141.64999389648438,142.10000610351562,141.14999389648438,141.5500030517578,203529,CIBUS.ST,150.20250038146975
