ticker,ex_date,dividend
BILI-A.ST,2016-04-11,3.75
BILI-A.ST,2017-04-20,4.0
BILI-A.ST,2018-04-11,4.5
BILI-A.ST,2019-04-09,4.75
BILI-A.ST,2021-04-28,3.0
BILI-A.ST,2021-10-26,3.0
BILI-A.ST,2022-04-08,2.0
BILI-A.ST,2022-07-08,2.0
BILI-A.ST,2022-10-07,2.0
BILI-A.ST,2023-01-05,2.0
BILI-A.ST,2023-04-28,2.2
BILI-A.ST,2023-07-10,2.2
BILI-A.ST,2023-10-06,2.2
BILI-A.ST,2024-01-08,2.2
BILI-A.ST,2024-04-25,1.65
BILI-A.ST,2024-07-05,1.65
BILI-A.ST,2024-10-04,1.65
BILI-A.ST,2025-01-03,1.65
BILI-A.ST,2025-04-28,1.4
BILI-A.ST,2025-07-04,1.4
BILI-A.ST,2025-10-03,1.4
BILI-A.ST,2026-01-05,1.4
BILI-A.ST,2026-04-30,1.5
BILI-A.ST,2026-07-03,1.5
BIOG-B.ST,2009-04-23,0.08
BIOG-B.ST,2010-05-07,0.3
BIOG-B.ST,2011-05-11,0.4
BIOG-B.ST,2012-05-09,1.2
BIOG-B.ST,2013-04-29,2.0
BIOG-B.ST,2014-05-07,1.4
BIOG-B.ST,2015-05-08,1.0
BIOG-B.ST,2016-05-11,1.0
BIOG-B.ST,2017-05-04,1.5
BIOG-B.ST,2018-04-26,1.8
BIOG-B.ST,2019-05-09,2.0
BIOG-B.ST,2020-05-08,0.75
BIOG-B.ST,2021-05-07,0.682
BIOG-B.ST,2022-05-09,2.984
BIOG-B.ST,2023-05-08,2.9
BIOG-B.ST,2024-05-08,6.9
BIOG-B.ST,2025-05-08,6.9
BIOG-B.ST,2026-05-08,4.0
BOL.ST,2006-05-05,2.0
BOL.ST,2007-05-04,4.0
BOL.ST,2008-05-09,4.0
BOL.ST,2009-04-30,1.0
BOL.ST,2010-04-28,3.0
BOL.ST,2011-05-04,5.0
BOL.ST,2012-05-04,4.0
BOL.ST,2013-05-06,4.0
BOL.ST,2014-05-07,1.75
BOL.ST,2015-05-06,2.25
BOL.ST,2016-05-04,3.25
BOL.ST,2017-04-26,5.25
BOL.ST,2018-04-30,8.25
BOL.ST,2018-05-16,5.75
BOL.ST,2019-05-06,8.75
BOL.ST,2019-05-23,4.25
BOL.ST,2020-04-29,7.0
BOL.ST,2021-04-28,8.25
BOL.ST,2021-05-06,6.0
BOL.ST,2022-04-29,10.5
BOL.ST,2022-05-11,15.5
BOL.ST,2023-04-26,15.0
BOL.ST,2023-05-09,11.5
BOL.ST,2024-04-24,7.5
BOL.ST,2026-04-29,11.0
BORG.ST,2006-05-05,0.3125
BORG.ST,2007-04-20,0.75
BORG.ST,2008-04-11,1.5
BORG.ST,2009-04-24,1.5
BORG.ST,2010-04-16,5.0
BORG.ST,2011-04-27,2.6
BORG.ST,2012-05-11,4.0
BORG.ST,2013-04-25,3.0
BORG.ST,2014-04-22,1.5
BORG.ST,2015-05-20,1.5
BORG.ST,2016-05-27,2.0
BORG.ST,2017-05-19,2.0
BORG.ST,2018-05-28,2.0
BORG.ST,2019-05-23,2.0
BORG.ST,2021-05-27,1.5
BORG.ST,2023-05-29,2.0
BORG.ST,2024-06-14,3.0
BORG.ST,2025-05-16,1.5
BORG.ST,2025-11-14,1.5
BORG.ST,2026-05-20,3.0
BRAV.ST,2016-05-04,1.0
BRAV.ST,2017-05-11,1.25
BRAV.ST,2018-04-23,1.55
BRAV.ST,2019-04-29,2.0
BRAV.ST,2020-10-26,2.25
BRAV.ST,2021-04-27,2.5
BRAV.ST,2022-05-06,3.0
BRAV.ST,2023-05-02,3.25
BRAV.ST,2024-05-08,3.5
BRAV.ST,2025-04-30,3.75
BRAV.ST,2026-04-29,3.8
BTS-B.ST,2002-04-29,0.166667
BTS-B.ST,2003-04-25,0.166667
BTS-B.ST,2004-04-23,0.2
BTS-B.ST,2005-04-27,0.533333
BTS-B.ST,2006-04-10,0.916667
BTS-B.ST,2007-05-04,1.0
BTS-B.ST,2008-05-08,1.2
BTS-B.ST,2009-04-30,1.2
BTS-B.ST,2010-04-30,1.2
BTS-B.ST,2011-05-06,1.5
BTS-B.ST,2012-04-30,1.6
BTS-B.ST,2013-05-15,1.75
BTS-B.ST,2014-05-14,1.75
BTS-B.ST,2015-05-08,1.75
BTS-B.ST,2016-05-11,2.35
BTS-B.ST,2017-05-15,2.5
BTS-B.ST,2018-05-17,1.4
BTS-B.ST,2018-11-15,1.4
BTS-B.ST,2019-05-16,1.8
BTS-B.ST,2019-11-14,1.8
BTS-B.ST,2020-12-14,3.6
BTS-B.ST,2021-05-20,0.6
BTS-B.ST,2021-11-11,0.6
