ticker,report_period,report_date,eps_ttm,currency
DIOS.ST,2021-Q2,,12.0533,SEK
DIOS.ST,2021-Q3,,13.3213,SEK
DIOS.ST,2021-Q4,,17.083,SEK
DIOS.ST,2022-Q1,,18.2333,SEK
DIOS.ST,2022-Q2,,17.5357,SEK
DIOS.ST,2022-Q3,,13.7037,SEK
DIOS.ST,2022-Q4,,5.8761,SEK
DIOS.ST,2023-Q1,,-1.4848,SEK
DIOS.ST,2023-Q2,,-3.4151,SEK
DIOS.ST,2023-Q3,,-1.9444,SEK
DIOS.ST,2023-Q4,,-6.0029,SEK
DUNI.ST,2018-Q3,,6.5288,SEK
DUNI.ST,2018-Q4,,5.1916,SEK
DUNI.ST,2019-Q1,,5.0639,SEK
DUNI.ST,2019-Q2,,5.0852,SEK
DUNI.ST,2019-Q3,,5.4044,SEK
DUNI.ST,2019-Q4,,5.7235,SEK
DUNI.ST,2020-Q1,,5.0639,SEK
DUNI.ST,2020-Q2,,1.8086,SEK
DUNI.ST,2020-Q3,,1.1277,SEK
DUNI.ST,2020-Q4,,0.3404,SEK
DUNI.ST,2021-Q1,,-1.1915,SEK
DUNI.ST,2021-Q2,,1.0426,SEK
DUNI.ST,2021-Q3,,2.1915,SEK
DUNI.ST,2021-Q4,,1.6383,SEK
DUNI.ST,2022-Q1,,2.8511,SEK
DUNI.ST,2022-Q2,,3.4894,SEK
DUNI.ST,2022-Q3,,3.149,SEK
DUNI.ST,2022-Q4,,4.2341,SEK
DUNI.ST,2023-Q1,,5.7874,SEK
DUNI.ST,2023-Q2,,6.9789,SEK
DUNI.ST,2023-Q3,,7.9363,SEK
DUNI.ST,2023-Q4,,8.3193,SEK
EQL.ST,2019-Q3,,-0.0603,SEK
EQL.ST,2019-Q4,,0.0539,SEK
EQL.ST,2020-Q1,,0.095,SEK
EQL.ST,2020-Q2,,0.4802,SEK
EQL.ST,2020-Q3,,0.5543,SEK
EQL.ST,2020-Q4,,0.5774,SEK
EQL.ST,2021-Q1,,0.3574,SEK
EQL.ST,2021-Q2,,0.0577,SEK
EQL.ST,2021-Q3,,0.1303,SEK
EQL.ST,2021-Q4,,0.6472,SEK
EQL.ST,2022-Q1,,0.6472,SEK
EQL.ST,2022-Q2,,0.6472,SEK
EQL.ST,2022-Q3,,0.6472,SEK
EQL.ST,2022-Q4,,0.6472,SEK
EQL.ST,2023-Q1,,1.0472,SEK
EQL.ST,2023-Q2,,1.0241,SEK
EQL.ST,2023-Q3,,0.9285,SEK
EQL.ST,2023-Q4,,0.7374,SEK
FOI-B.ST,2024-Q1,,2.0776,EUR
FOI-B.ST,2024-Q2,,1.4925,EUR
FOI-B.ST,2024-Q3,,0.8025,EUR
FOI-B.ST,2024-Q4,,1.095,EUR
FOI-B.ST,2025-Q1,,0.6,EUR
FOI-B.ST,2025-Q2,,0.43,EUR
FOI-B.ST,2025-Q3,,0.56,EUR
FOI-B.ST,2025-Q4,,0.36,EUR
FOI-B.ST,2026-Q1,,0.7,EUR
FOI-B.ST,2026-Q2,,0.5,EUR
GENO.ST,2018-Q3,,-0.0641,SEK
GENO.ST,2018-Q4,,-0.0234,SEK
GENO.ST,2019-Q1,,0.0214,SEK
GENO.ST,2019-Q2,,0.0729,SEK
GENO.ST,2019-Q3,,0.1824,SEK
GENO.ST,2019-Q4,,0.1514,SEK
GENO.ST,2020-Q1,,0.0952,SEK
GENO.ST,2020-Q2,,0.0505,SEK
GENO.ST,2020-Q3,,-0.045,SEK
GENO.ST,2020-Q4,,0.0977,SEK
GENO.ST,2021-Q1,,0.1393,SEK
GENO.ST,2021-Q2,,0.1785,SEK
GENO.ST,2021-Q3,,0.1717,SEK
GENO.ST,2021-Q4,,0.3785,SEK
GENO.ST,2022-Q1,,0.5564,SEK
GENO.ST,2022-Q2,,0.5507,SEK
HANZA.ST,2018-Q3,,1.1604,SEK
HANZA.ST,2018-Q4,,0.7726,SEK
HANZA.ST,2019-Q1,,0.711,SEK
HANZA.ST,2019-Q2,,0.5925,SEK
HANZA.ST,2019-Q3,,0.2548,SEK
HOLM-A.ST,2018-Q3,,12.2444,SEK
HOLM-A.ST,2018-Q4,,13.4767,SEK
HOLM-A.ST,2019-Q1,,13.4708,SEK
HOLM-A.ST,2019-Q2,,11.6347,SEK
HOLM-A.ST,2019-Q3,,11.4084,SEK
HOLM-A.ST,2019-Q4,,53.6785,SEK
HOLM-A.ST,2020-Q1,,53.7166,SEK
HOLM-A.ST,2020-Q2,,53.5728,SEK
HOLM-A.ST,2020-Q3,,54.5621,SEK
HOLM-A.ST,2020-Q4,,12.2216,SEK
HOLM-A.ST,2021-Q1,,13.358,SEK
HOLM-A.ST,2021-Q2,,15.1304,SEK
HOLM-A.ST,2021-Q3,,16.3532,SEK
HOLM-A.ST,2021-Q4,,18.5517,SEK
HOLM-A.ST,2022-Q1,,23.5417,SEK
HOLM-A.ST,2022-Q2,,29.3667,SEK
HOLM-A.ST,2022-Q3,,33.8027,SEK
HOLM-A.ST,2022-Q4,,36.2694,SEK
HOLM-A.ST,2023-Q1,,35.5737,SEK
HOLM-A.ST,2023-Q2,,30.938,SEK
HOLM-A.ST,2023-Q3,,27.4299,SEK
HOLM-A.ST,2023-Q4,,22.9817,SEK
HOLM-A.ST,2024-Q1,,19.1915,SEK
HOLM-A.ST,2024-Q2,,18.3657,SEK
