ticker,metric,as_of_date,value,currency_code,current_trailing_eps,is_latest_metric_row
ASSA-B.ST,trailingBasicEPS,2026-03-31,14.2,SEK,14.75,False
ASSA-B.ST,trailingBasicEPS,2026-06-30,14.75,SEK,14.75,True
ASSA-B.ST,trailingDilutedEPS,2023-09-30,12.07,SEK,14.75,False
ASSA-B.ST,trailingDilutedEPS,2023-12-31,12.27,SEK,14.75,False
ASSA-B.ST,trailingDilutedEPS,2024-03-31,12.94,SEK,14.75,False
ASSA-B.ST,trailingDilutedEPS,2024-06-30,13.24,SEK,14.75,False
ASSA-B.ST,trailingDilutedEPS,2024-09-30,13.79,SEK,14.75,False
ASSA-B.ST,trailingDilutedEPS,2024-12-31,14.08,SEK,14.75,False
ASSA-B.ST,trailingDilutedEPS,2025-03-31,13.18,SEK,14.75,False
ASSA-B.ST,trailingDilutedEPS,2025-06-30,13.09,SEK,14.75,False
ASSA-B.ST,trailingDilutedEPS,2025-12-31,13.23,SEK,14.75,False
ASSA-B.ST,trailingDilutedEPS,2026-03-31,14.2,SEK,14.75,False
ASSA-B.ST,trailingDilutedEPS,2026-06-30,14.75,SEK,14.75,True
ATCO-A.ST,quarterlyBasicEPS,2024-12-31,1.6,SEK,5.46,False
ATCO-A.ST,quarterlyBasicEPS,2025-03-31,1.35,SEK,5.46,False
ATCO-A.ST,quarterlyBasicEPS,2025-06-30,1.34,SEK,5.46,False
ATCO-A.ST,quarterlyBasicEPS,2025-12-31,1.36,SEK,5.46,False
ATCO-A.ST,quarterlyBasicEPS,2026-03-31,1.28,SEK,5.46,False
ATCO-A.ST,quarterlyBasicEPS,2026-06-30,1.45,SEK,5.46,True
ATCO-A.ST,quarterlyDilutedEPS,2024-12-31,1.6,SEK,5.46,False
ATCO-A.ST,quarterlyDilutedEPS,2025-03-31,1.35,SEK,5.46,False
ATCO-A.ST,quarterlyDilutedEPS,2025-06-30,1.34,SEK,5.46,False
ATCO-A.ST,quarterlyDilutedEPS,2025-12-31,1.36,SEK,5.46,False
ATCO-A.ST,quarterlyDilutedEPS,2026-03-31,1.28,SEK,5.46,False
ATCO-A.ST,quarterlyDilutedEPS,2026-06-30,1.45,SEK,5.46,True
ATCO-A.ST,trailingBasicEPS,2023-09-30,5.61,SEK,5.46,False
ATCO-A.ST,trailingBasicEPS,2024-03-31,5.89,SEK,5.46,False
ATCO-A.ST,trailingBasicEPS,2024-06-30,6.04,SEK,5.46,False
ATCO-A.ST,trailingBasicEPS,2024-09-30,5.9,SEK,5.46,False
ATCO-A.ST,trailingBasicEPS,2024-12-31,6.11,SEK,5.46,False
ATCO-A.ST,trailingBasicEPS,2025-03-31,5.99,SEK,5.46,False
ATCO-A.ST,trailingBasicEPS,2025-06-30,5.76,SEK,5.46,False
ATCO-A.ST,trailingBasicEPS,2025-12-31,5.43,SEK,5.46,False
ATCO-A.ST,trailingBasicEPS,2026-03-31,5.36,SEK,5.46,False
ATCO-A.ST,trailingBasicEPS,2026-06-30,5.47,SEK,5.46,True
