ticker,report_period,report_date,period_end,period_end_to_report_days,original_eps_ttm,aligned_eps_ttm,currency,abs_change_pct,alignment_status,eps_source
EPI-A.ST,2025-Q3,2025-10-29,2025-09-30,29.0,7.14,7.14,SEK,0.0,yahoo_reconstructed_diluted_ttm,Yahoo Finance / trailingDilutedEPS reconstructed from quarterlyDilutedEPS
EPI-A.ST,2025-Q4,2026-01-26,2025-12-31,26.0,7.12,7.12,SEK,0.0,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
EPI-A.ST,2026-Q1,2026-04-29,2026-03-31,29.0,7.03,7.04,SEK,0.14224751066856028,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
EPI-A.ST,2026-Q2,2026-07-17,2026-06-30,17.0,7.3,7.31,SEK,0.1369863013698601,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
EPI-B.ST,2024-Q1,2024-04-23,2024-03-31,23.0,7.57,7.57,SEK,0.0,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
EPI-B.ST,2024-Q2,2024-07-19,2024-06-30,19.0,7.07,7.07,SEK,0.0,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
EPI-B.ST,2024-Q3,2024-10-25,2024-09-30,25.0,7.14,7.14,SEK,0.0,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
EPI-B.ST,2024-Q4,2025-01-30,2024-12-31,30.0,7.23,7.23,SEK,0.0,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
EPI-B.ST,2025-Q1,2025-04-29,2025-03-31,29.0,7.38,7.39,SEK,0.13550135501354726,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
EPI-B.ST,2025-Q2,2025-07-18,2025-06-30,18.0,7.43,7.44,SEK,0.13458950201885161,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
EPI-B.ST,2025-Q3,2025-10-29,2025-09-30,29.0,7.14,7.14,SEK,0.0,yahoo_reconstructed_diluted_ttm,Yahoo Finance / trailingDilutedEPS reconstructed from quarterlyDilutedEPS
EPI-B.ST,2025-Q4,2026-01-26,2025-12-31,26.0,7.12,7.12,SEK,0.0,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
EPI-B.ST,2026-Q1,2026-04-29,2026-03-31,29.0,7.03,7.04,SEK,0.14224751066856028,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
EPI-B.ST,2026-Q2,2026-07-17,2026-06-30,17.0,7.3,7.31,SEK,0.1369863013698601,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
EQL.ST,2024-Q4,2024-05-14,2024-03-31,44.0,0.7812,0.76,SEK,2.7137736815156166,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
EQL.ST,2025-Q1,2024-05-14,,,0.9047,0.9047,SEK,0.0,fallback_user_history,User-supplied historical EPS TTM fallback
EQL.ST,2025-Q2,2024-08-08,2024-06-30,39.0,1.0726,0.89,SEK,17.024053701286594,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
EQL.ST,2025-Q3,2024-11-06,2024-09-30,37.0,1.1949,1.06,SEK,11.289647669261027,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
EQL.ST,2025-Q4,2025-02-05,2024-12-31,36.0,1.4838,1.16,SEK,21.82234802534035,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
EQL.ST,2026-Q1,2025-05-08,2025-03-31,38.0,1.46,1.44,SEK,1.3698630136986314,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
EQL.ST,2026-Q2,2025-08-08,2025-06-30,39.0,1.0,1.41,SEK,40.99999999999999,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
EQL.ST,2026-Q3,2025-11-05,2025-09-30,36.0,0.99,0.99,SEK,0.0,yahoo_reconstructed_diluted_ttm,Yahoo Finance / trailingDilutedEPS reconstructed from quarterlyDilutedEPS
EQL.ST,2026-Q4,2026-02-03,2025-12-31,34.0,0.42,0.98,SEK,133.33333333333334,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
EQL.ST,2027-Q1,2026-05-08,2026-03-31,38.0,-0.48,0.42,SEK,187.49999999999997,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries
EQT.ST,2021-Q4,2022-01-19,,,0.9288,0.9288,EUR,0.0,fallback_user_history,User-supplied historical EPS TTM fallback
