ticker,periods,direct_periods,reconstructed_periods,report_dates_mapped,report_dates_missing,first_period_end,last_period_end,max_report_lag_days,price_currency,report_currency,currency_ready
INTRUM.ST,9,8,1,9,0,2023-09-30,2026-03-31,37,SEK,SEK,True
INVE-A.ST,11,9,2,0,11,2023-09-30,2026-06-30,,SEK,SEK,True
INWI.ST,12,11,1,10,2,2023-09-30,2026-06-30,35,SEK,SEK,True
KAMBI.ST,11,10,1,11,0,2023-09-30,2026-06-30,57,SEK,EUR,True
KNOW.ST,12,11,1,12,0,2023-09-30,2026-06-30,39,SEK,SEK,True
LAGR-B.ST,12,11,1,12,0,2023-09-30,2026-06-30,50,SEK,SEK,True
LIFCO-B.ST,11,10,1,9,2,2023-09-30,2026-06-30,31,SEK,SEK,True
LIME.ST,10,9,1,10,0,2023-09-30,2026-06-30,45,SEK,SEK,True
LOOMIS.ST,11,10,1,11,0,2023-09-30,2026-06-30,37,SEK,SEK,True
LUMI.ST,10,10,0,10,0,2023-09-30,2026-06-30,53,SEK,USD,True
MCAP.ST,11,10,1,2,9,2023-09-30,2026-06-30,31,SEK,SEK,True
MCOV-B.ST,12,11,1,7,5,2023-09-30,2026-06-30,43,SEK,EUR,True
MSAB-B.ST,12,11,1,10,2,2023-09-30,2026-06-30,46,SEK,SEK,True
MTG-B.ST,12,12,0,12,0,2023-09-30,2026-06-30,44,SEK,SEK,True
MTRS.ST,12,11,1,12,0,2023-09-30,2026-06-30,36,SEK,SEK,True
MYCR.ST,13,12,1,7,6,2022-12-31,2026-06-30,36,SEK,SEK,True
NDA-SE.ST,12,11,1,12,0,2023-09-30,2026-06-30,36,SEK,EUR,True
NEWA-B.ST,10,9,1,10,0,2023-09-30,2026-06-30,51,SEK,SEK,True
NIBE-B.ST,12,12,0,12,0,2023-09-30,2026-06-30,53,SEK,SEK,True
NMAN.ST,12,11,1,1,11,2023-09-30,2026-06-30,15,SEK,SEK,True
NOLA-B.ST,12,11,1,11,1,2023-09-30,2026-06-30,38,SEK,SEK,True
NORION.ST,11,10,1,11,0,2023-09-30,2026-06-30,46,SEK,SEK,True
PACT.ST,11,10,1,11,0,2023-09-30,2026-06-30,42,SEK,SEK,True
PEAB-B.ST,12,11,1,12,0,2023-09-30,2026-06-30,37,SEK,SEK,True
PLAZ-B.ST,11,10,1,1,10,2023-09-30,2026-06-30,2,SEK,SEK,True
PNDX-B.ST,12,11,1,11,1,2023-09-30,2026-06-30,39,SEK,SEK,True
REJL-B.ST,12,11,1,9,3,2023-09-30,2026-06-30,37,SEK,SEK,True
SAAB-B.ST,12,11,1,12,0,2023-09-30,2026-06-30,40,SEK,SEK,True
SAGA-A.ST,12,11,1,0,12,2023-09-30,2026-06-30,,SEK,SEK,True
SAVE.ST,12,11,1,12,0,2023-09-30,2026-06-30,30,SEK,SEK,True
SCA-B.ST,12,11,1,12,0,2023-09-30,2026-06-30,31,SEK,SEK,True
SCST.ST,10,9,1,9,1,2023-09-30,2026-06-30,37,SEK,SEK,True
SEB-A.ST,12,11,1,12,0,2023-09-30,2026-06-30,29,SEK,SEK,True
SECARE.ST,12,11,1,12,0,2023-09-30,2026-06-30,46,SEK,SEK,True
SECT-B.ST,10,10,0,4,6,2023-10-31,2026-04-30,42,SEK,SEK,True
SECU-B.ST,12,11,1,12,0,2023-09-30,2026-06-30,38,SEK,SEK,True
SFAST.ST,12,12,0,2,10,2023-09-30,2026-06-30,50,SEK,SEK,True
SHB-A.ST,12,11,1,12,0,2023-09-30,2026-06-30,38,SEK,SEK,True
SHOT.ST,12,11,1,12,0,2023-09-30,2026-06-30,50,SEK,SEK,True
SINT.ST,11,10,1,9,2,2023-09-30,2026-06-30,52,SEK,SEK,True
SOBI.ST,12,11,1,12,0,2023-09-30,2026-06-30,39,SEK,SEK,True
SVED-B.ST,11,10,1,10,1,2023-09-30,2026-06-30,60,SEK,SEK,True
SWEC-A.ST,12,11,1,0,12,2023-09-30,2026-06-30,,SEK,SEK,True
SWEC-B.ST,12,11,1,12,0,2023-09-30,2026-06-30,46,SEK,SEK,True
SWED-A.ST,12,11,1,12,0,2023-09-30,2026-06-30,29,SEK,SEK,True
SYSR.ST,10,10,0,10,0,2023-10-31,2026-04-30,41,SEK,SEK,True
TEL2-B.ST,11,10,1,11,0,2023-09-30,2026-06-30,28,SEK,SEK,True
THULE.ST,11,10,1,11,0,2023-09-30,2026-06-30,41,SEK,SEK,True
TREL-B.ST,11,10,1,11,0,2023-09-30,2026-06-30,29,SEK,SEK,True
VBG-B.ST,12,11,1,12,0,2023-09-30,2026-06-30,51,SEK,SEK,True
VIT-B.ST,10,9,1,10,0,2023-09-30,2026-06-30,37,SEK,SEK,True
VITR.ST,11,10,1,10,1,2023-09-30,2026-06-30,34,SEK,SEK,True
VIVA.ST,11,11,0,8,3,2023-09-30,2026-06-30,59,SEK,SEK,True
VOLV-A.ST,12,11,1,0,12,2023-09-30,2026-06-30,,SEK,SEK,True
WALL-B.ST,11,9,2,10,1,2023-09-30,2026-06-30,37,SEK,SEK,True
WIHL.ST,11,10,1,9,2,2023-09-30,2026-06-30,46,SEK,SEK,True
ZZ-B.ST,9,9,0,5,4,2023-09-30,2026-03-31,61,SEK,SEK,True
