ticker,report_period,period_end,historical_report_date,yahoo_report_date,report_date_delta_days,report_date_status,historical_eps_ttm,historical_currency,yahoo_eps_ttm,yahoo_eps_currency,error_pct,value_status,historical_alignment_status,yahoo_observed_date
PEAB-B.ST,2026-Q2,2026-06-30,2026-07-14,2026-07-13,1.0,near,7.27,SEK,7.27,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
PLAZ-B.ST,2026-Q2,2026-06-30,2026-07-03,2026-07-02,1.0,near,6.15,SEK,6.15,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
PNDX-B.ST,2026-Q2,2026-06-30,2026-07-15,2026-07-14,1.0,near,16.37,SEK,16.37,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
REJL-B.ST,2026-Q2,2026-06-30,2026-07-15,2026-07-15,0.0,match,7.52,SEK,7.52,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
SAAB-B.ST,2026-Q2,2026-06-30,2026-07-17,2026-07-16,1.0,near,13.14,SEK,13.14,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
SAGA-A.ST,,2026-06-30,,2012-10-25,,no_same_period_history,,,15.08,SEK,,no_same_period_history,,2026-08-15
SAVE.ST,2026-Q2,2026-06-30,2026-07-17,2026-07-16,1.0,near,12.97,SEK,12.97,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
SCA-B.ST,2026-Q2,2026-06-30,2026-07-22,2026-07-21,1.0,near,3.16,SEK,3.16,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
SCST.ST,2026-Q2,2026-06-30,2026-07-17,2026-07-16,1.0,near,6.65,SEK,6.65,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
SEB-A.ST,2026-Q2,2026-06-30,2026-07-15,2026-07-15,0.0,match,15.68,SEK,15.68,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
SECARE.ST,2026-Q2,2026-06-30,2026-07-22,2026-07-21,1.0,near,0.5,SEK,0.5,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
SECT-B.ST,2026-Q4,2026-04-30,2026-06-05,2026-06-05,0.0,match,2.93,SEK,2.93,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
SECU-B.ST,2026-Q2,2026-06-30,2026-07-24,2026-07-23,1.0,near,9.75,SEK,9.75,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
SFAST.ST,,2026-06-30,,2026-02-19,,no_same_period_history,,,1.46,SEK,,no_same_period_history,,2026-08-15
SHB-A.ST,2026-Q2,2026-06-30,2026-07-15,2026-07-14,1.0,near,11.83,SEK,11.83,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
SHOT.ST,2026-Q2,2026-06-30,2026-07-15,2026-07-14,1.0,near,3.37,SEK,3.37,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
SINT.ST,,2026-06-30,,2026-04-29,,no_same_period_history,,,2.71,SEK,,no_same_period_history,,2026-08-23
SOBI.ST,2026-Q2,2026-06-30,2026-07-16,2026-07-15,1.0,near,3.92,SEK,3.92,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
SVED-B.ST,,2026-06-30,,2026-04-23,,no_same_period_history,,,4.02,SEK,,no_same_period_history,,2026-08-15
SWEC-A.ST,2026-Q2,2026-06-30,2026-07-17,,,missing_yahoo,6.3,SEK,6.3,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
SWEC-B.ST,2026-Q2,2026-06-30,2026-07-17,2026-07-17,0.0,match,6.3,SEK,6.3,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
SWED-A.ST,2026-Q2,2026-06-30,2026-07-17,2026-07-16,1.0,near,27.6,SEK,27.6,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
SYSR.ST,2026-Q4,2026-04-30,2026-06-10,2026-06-10,0.0,match,3.67,SEK,3.67,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
TEL2-B.ST,2026-Q2,2026-06-30,2026-07-16,2026-07-15,1.0,near,14.5,SEK,14.5,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
THULE.ST,2026-Q2,2026-06-30,2026-07-20,2026-07-19,1.0,near,10.8,SEK,10.8,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
TREL-B.ST,2026-Q2,2026-06-30,2026-07-16,2026-07-15,1.0,near,16.85,SEK,16.85,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
VBG-B.ST,2026-Q2,2026-06-30,2026-07-17,2026-07-17,0.0,match,16.41,SEK,16.41,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
VIT-B.ST,2026-Q2,2026-06-30,2026-07-14,2026-07-14,0.0,match,11.7,SEK,11.7,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
VITR.ST,2026-Q2,2026-06-30,2026-07-16,2026-07-15,1.0,near,-36.8,SEK,-36.8,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
VIVA.ST,,2026-06-30,,2026-02-19,,no_same_period_history,,,2.32,SEK,,no_same_period_history,,2026-08-23
VOLV-A.ST,,2026-06-30,,,,no_same_period_history,,,17.62,SEK,,no_same_period_history,,2026-08-15
WALL-B.ST,2026-Q2,2026-06-30,2026-07-06,2026-07-06,0.0,match,4.1,SEK,4.1,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
WIHL.ST,,2026-06-30,,2025-10-23,,no_same_period_history,,,7.11,SEK,,no_same_period_history,,2026-08-15
ZZ-B.ST,,2026-03-31,,2025-11-19,,no_same_period_history,,,9.85,SEK,,no_same_period_history,,2026-08-15
