ticker,report_period,report_date,gap_position,previous_comparable_period,previous_comparable_date,next_comparable_period,next_comparable_date,days_from_previous,days_to_next,stale_window_days,reference_eps_ttm,currency,recommended_action
NIBE-B.ST,2019-Q4,2020-02-13,leading,,,2023-Q3,2023-11-15,,1371,,1.0764,SEK,optional_backfill_requires_verified_source
NIBE-B.ST,2020-Q1,2020-05-14,leading,,,2023-Q3,2023-11-15,,1280,,1.0798,SEK,optional_backfill_requires_verified_source
NIBE-B.ST,2020-Q2,2020-08-19,leading,,,2023-Q3,2023-11-15,,1183,,1.0957,SEK,optional_backfill_requires_verified_source
NIBE-B.ST,2020-Q3,2020-11-18,leading,,,2023-Q3,2023-11-15,,1092,,1.1552,SEK,optional_backfill_requires_verified_source
NIBE-B.ST,2020-Q4,2021-02-17,leading,,,2023-Q3,2023-11-15,,1001,,1.4216,SEK,optional_backfill_requires_verified_source
NIBE-B.ST,2021-Q1,2021-05-11,leading,,,2023-Q3,2023-11-15,,918,,1.5267,SEK,optional_backfill_requires_verified_source
NIBE-B.ST,2021-Q2,2021-08-19,leading,,,2023-Q3,2023-11-15,,818,,1.7346,SEK,optional_backfill_requires_verified_source
NIBE-B.ST,2021-Q3,2021-11-17,leading,,,2023-Q3,2023-11-15,,728,,1.8055,SEK,optional_backfill_requires_verified_source
NIBE-B.ST,2021-Q4,2022-02-17,leading,,,2023-Q3,2023-11-15,,636,,1.6468,SEK,optional_backfill_requires_verified_source
NIBE-B.ST,2022-Q1,2022-05-17,leading,,,2023-Q3,2023-11-15,,547,,1.6607,SEK,optional_backfill_requires_verified_source
NIBE-B.ST,2022-Q2,2022-08-18,leading,,,2023-Q3,2023-11-15,,454,,1.8179,SEK,optional_backfill_requires_verified_source
NIBE-B.ST,2022-Q3,2022-11-16,leading,,,2023-Q3,2023-11-15,,364,,1.9216,SEK,optional_backfill_requires_verified_source
NIBE-B.ST,2022-Q4,2023-02-15,leading,,,2023-Q3,2023-11-15,,273,,2.1582,SEK,optional_backfill_requires_verified_source
NIBE-B.ST,2023-Q1,2023-05-16,leading,,,2023-Q3,2023-11-15,,183,,2.4597,SEK,optional_backfill_requires_verified_source
NIBE-B.ST,2023-Q2,2023-08-17,leading,,,2023-Q3,2023-11-15,,90,,2.5108,SEK,optional_backfill_requires_verified_source
PACT.ST,2018-Q4,2019-02-06,leading,,,2023-Q3,2023-10-27,,1724,,4.6268,SEK,optional_backfill_requires_verified_source
PACT.ST,2019-Q1,2019-04-25,leading,,,2023-Q3,2023-10-27,,1646,,4.4837,SEK,optional_backfill_requires_verified_source
PACT.ST,2019-Q2,2019-07-11,leading,,,2023-Q3,2023-10-27,,1569,,3.6678,SEK,optional_backfill_requires_verified_source
PACT.ST,2019-Q3,2019-10-17,leading,,,2023-Q3,2023-10-27,,1471,,3.5367,SEK,optional_backfill_requires_verified_source
PACT.ST,2019-Q4,2020-02-06,leading,,,2023-Q3,2023-10-27,,1359,,2.9139,SEK,optional_backfill_requires_verified_source
PACT.ST,2020-Q1,2020-04-24,leading,,,2023-Q3,2023-10-27,,1281,,3.0851,SEK,optional_backfill_requires_verified_source
PACT.ST,2020-Q2,2020-07-15,leading,,,2023-Q3,2023-10-27,,1199,,3.0851,SEK,optional_backfill_requires_verified_source
PACT.ST,2020-Q3,2020-10-23,leading,,,2023-Q3,2023-10-27,,1099,,3.0851,SEK,optional_backfill_requires_verified_source
PACT.ST,2020-Q4,2021-02-11,leading,,,2023-Q3,2023-10-27,,988,,3.0851,SEK,optional_backfill_requires_verified_source
PACT.ST,2021-Q1,2021-04-22,leading,,,2023-Q3,2023-10-27,,918,,3.0851,SEK,optional_backfill_requires_verified_source
PACT.ST,2021-Q2,2021-07-14,leading,,,2023-Q3,2023-10-27,,835,,3.0851,SEK,optional_backfill_requires_verified_source
PACT.ST,2021-Q3,2021-10-21,leading,,,2023-Q3,2023-10-27,,736,,3.0851,SEK,optional_backfill_requires_verified_source
PACT.ST,2021-Q4,2022-02-10,leading,,,2023-Q3,2023-10-27,,624,,3.0851,SEK,optional_backfill_requires_verified_source
PACT.ST,2022-Q1,2022-04-26,leading,,,2023-Q3,2023-10-27,,549,,3.0851,SEK,optional_backfill_requires_verified_source
