date,base_currency,quote_currency,rate,yahoo_ticker
2016-04-11,USD,SEK,8.148929595947266,USDSEK=X
2016-04-12,USD,SEK,8.109511375427246,USDSEK=X
2016-04-13,USD,SEK,8.078069686889648,USDSEK=X
2016-04-14,USD,SEK,8.14363956451416,USDSEK=X
2016-04-15,USD,SEK,8.131839752197266,USDSEK=X
2016-04-18,USD,SEK,8.13737964630127,USDSEK=X
2016-04-19,USD,SEK,8.114609718322754,USDSEK=X
2016-04-20,USD,SEK,8.082610130310059,USDSEK=X
2016-04-21,USD,SEK,8.121649742126465,USDSEK=X
2016-04-22,USD,SEK,8.140740394592285,USDSEK=X
2016-04-25,USD,SEK,8.151200294494629,USDSEK=X
2016-04-26,USD,SEK,8.13860034942627,USDSEK=X
2016-04-27,USD,SEK,8.120429992675781,USDSEK=X
2016-04-28,USD,SEK,8.080820083618164,USDSEK=X
2016-04-29,USD,SEK,8.06544017791748,USDSEK=X
2016-05-02,USD,SEK,8.021550178527832,USDSEK=X
2016-05-03,USD,SEK,7.962440013885498,USDSEK=X
2016-05-04,USD,SEK,8.045550346374512,USDSEK=X
2016-05-05,USD,SEK,8.060790061950684,USDSEK=X
2016-05-06,USD,SEK,8.099040031433105,USDSEK=X
2016-05-09,USD,SEK,8.147489547729492,USDSEK=X
2016-05-10,USD,SEK,8.160771369934082,USDSEK=X
2016-05-11,USD,SEK,8.152770042419434,USDSEK=X
2016-05-12,USD,SEK,8.128190040588379,USDSEK=X
2016-05-13,USD,SEK,8.183429718017578,USDSEK=X
2016-05-16,USD,SEK,8.23917007446289,USDSEK=X
2016-05-17,USD,SEK,8.266441345214844,USDSEK=X
2016-05-18,USD,SEK,8.255241394042969,USDSEK=X
2016-05-19,USD,SEK,8.34646987915039,USDSEK=X
2016-05-20,USD,SEK,8.350959777832031,USDSEK=X
2016-05-23,USD,SEK,8.318140029907227,USDSEK=X
2016-05-24,USD,SEK,8.34634017944336,USDSEK=X
2016-05-25,USD,SEK,8.314780235290527,USDSEK=X
2016-05-26,USD,SEK,8.293299674987793,USDSEK=X
2016-05-27,USD,SEK,8.279370307922363,USDSEK=X
2016-05-30,USD,SEK,8.349849700927734,USDSEK=X
2016-05-31,USD,SEK,8.321459770202637,USDSEK=X
2016-06-01,USD,SEK,8.32211971282959,USDSEK=X
2016-06-02,USD,SEK,8.296460151672363,USDSEK=X
2016-06-03,USD,SEK,8.325249671936035,USDSEK=X
2016-06-06,USD,SEK,8.153429985046387,USDSEK=X
2016-06-07,USD,SEK,8.12378978729248,USDSEK=X
2016-06-08,USD,SEK,8.120100021362305,USDSEK=X
2016-06-09,USD,SEK,8.101090431213379,USDSEK=X
2016-06-10,USD,SEK,8.181429862976074,USDSEK=X
2016-06-13,USD,SEK,8.310810089111328,USDSEK=X
2016-06-14,USD,SEK,8.24608039855957,USDSEK=X
2016-06-15,USD,SEK,8.310540199279785,USDSEK=X
2016-06-16,USD,SEK,8.301650047302246,USDSEK=X
2016-06-17,USD,SEK,8.319649696350098,USDSEK=X
2016-06-20,USD,SEK,8.255249977111816,USDSEK=X
2016-06-21,USD,SEK,8.22793960571289,USDSEK=X
2016-06-22,USD,SEK,8.26846981048584,USDSEK=X
2016-06-23,USD,SEK,8.214119911193848,USDSEK=X
2016-06-24,USD,SEK,8.19672966003418,USDSEK=X
2016-06-27,USD,SEK,8.530599594116211,USDSEK=X
2016-06-28,USD,SEK,8.556229591369629,USDSEK=X
2016-06-29,USD,SEK,8.491950035095215,USDSEK=X
2016-06-30,USD,SEK,8.450559616088867,USDSEK=X
2016-07-01,USD,SEK,8.450249671936035,USDSEK=X
2016-07-04,USD,SEK,8.440930366516113,USDSEK=X
2016-07-05,USD,SEK,8.419819831848145,USDSEK=X
2016-07-06,USD,SEK,8.531510353088379,USDSEK=X
2016-07-07,USD,SEK,8.519590377807617,USDSEK=X
2016-07-08,USD,SEK,8.570650100708008,USDSEK=X
2016-07-11,USD,SEK,8.589509963989258,USDSEK=X
2016-07-12,USD,SEK,8.567489624023438,USDSEK=X
2016-07-13,USD,SEK,8.539170265197754,USDSEK=X
2016-07-14,USD,SEK,8.491999626159668,USDSEK=X
2016-07-15,USD,SEK,8.507869720458984,USDSEK=X
2016-07-18,USD,SEK,8.572039604187012,USDSEK=X
2016-07-19,USD,SEK,8.546070098876953,USDSEK=X
2016-07-20,USD,SEK,8.610420227050781,USDSEK=X
2016-07-21,USD,SEK,8.585229873657227,USDSEK=X
2016-07-22,USD,SEK,8.580750465393066,USDSEK=X
2016-07-25,USD,SEK,8.658169746398926,USDSEK=X
2016-07-26,USD,SEK,8.636750221252441,USDSEK=X
2016-07-27,USD,SEK,8.649189949035645,USDSEK=X
2016-07-28,USD,SEK,8.618109703063965,USDSEK=X
2016-07-29,USD,SEK,8.631400108337402,USDSEK=X
2016-08-01,USD,SEK,8.561470031738281,USDSEK=X
2016-08-02,USD,SEK,8.590660095214844,USDSEK=X
2016-08-03,USD,SEK,8.505680084228516,USDSEK=X
2016-08-04,USD,SEK,8.54358959197998,USDSEK=X
2016-08-05,USD,SEK,8.515299797058105,USDSEK=X
2016-08-08,USD,SEK,8.56488037109375,USDSEK=X
2016-08-09,USD,SEK,8.58098030090332,USDSEK=X
2016-08-10,USD,SEK,8.532930374145508,USDSEK=X
2016-08-11,USD,SEK,8.45265007019043,USDSEK=X
2016-08-12,USD,SEK,8.47323989868164,USDSEK=X
2016-08-15,USD,SEK,8.45199966430664,USDSEK=X
2016-08-16,USD,SEK,8.457329750061035,USDSEK=X
2016-08-17,USD,SEK,8.412150382995605,USDSEK=X
2016-08-18,USD,SEK,8.407699584960938,USDSEK=X
2016-08-19,USD,SEK,8.34529972076416,USDSEK=X
2016-08-22,USD,SEK,8.40565013885498,USDSEK=X
2016-08-23,USD,SEK,8.370789527893066,USDSEK=X
2016-08-24,USD,SEK,8.377079963684082,USDSEK=X
2016-08-25,USD,SEK,8.39780044555664,USDSEK=X
2016-08-26,USD,SEK,8.399200439453125,USDSEK=X
