ticker,report_period,report_date,eps_ttm,currency
ANOD-B.ST,2025-Q1,2025-04-25,2.79,SEK
ANOD-B.ST,2025-Q2,2025-07-14,3.16,SEK
ANOD-B.ST,2025-Q3,2025-10-24,2.8,SEK
ANOD-B.ST,2025-Q4,2026-02-03,2.83,SEK
ANOD-B.ST,2026-Q1,2026-04-28,3.01,SEK
ANOD-B.ST,2026-Q2,2026-07-15,2.39,SEK
ARJO-B.ST,2024-Q1,2024-04-18,1.83,SEK
ARJO-B.ST,2024-Q2,2024-07-12,1.89,SEK
ARJO-B.ST,2024-Q3,2024-10-17,1.86,SEK
ARJO-B.ST,2024-Q4,2025-01-30,1.83,SEK
ARJO-B.ST,2025-Q1,2025-04-29,1.68,SEK
ARJO-B.ST,2025-Q2,2025-07-11,1.58,SEK
ARJO-B.ST,2025-Q3,2025-10-22,1.61,SEK
ARJO-B.ST,2025-Q4,2026-01-30,1.23,SEK
ARJO-B.ST,2026-Q1,2026-04-22,1.29,SEK
ARJO-B.ST,2026-Q2,2026-07-14,1.41,SEK
ASSA-B.ST,2024-Q1,2024-04-24,12.94,SEK
ASSA-B.ST,2024-Q2,2024-07-17,13.25,SEK
ASSA-B.ST,2024-Q3,2024-10-23,13.8,SEK
ASSA-B.ST,2024-Q4,2025-02-05,14.08,SEK
ASSA-B.ST,2025-Q1,2025-04-23,13.18,SEK
ASSA-B.ST,2025-Q2,2025-07-17,13.08,SEK
ASSA-B.ST,2025-Q3,2025-10-21,13.22,SEK
ASSA-B.ST,2025-Q4,2026-02-05,13.23,SEK
ASSA-B.ST,2026-Q1,2026-04-28,14.21,SEK
ASSA-B.ST,2026-Q2,2026-07-17,14.76,SEK
ATCO-A.ST,2024-Q1,2024-04-24,5.88,SEK
ATCO-A.ST,2024-Q2,2024-07-18,6.03,SEK
ATCO-A.ST,2024-Q3,2024-10-23,5.9,SEK
ATCO-A.ST,2024-Q4,2025-01-28,6.1,SEK
ATCO-A.ST,2025-Q1,2025-04-29,6.0,SEK
ATCO-A.ST,2025-Q2,2025-07-18,5.77,SEK
ATCO-A.ST,2025-Q3,2025-10-23,5.67,SEK
ATCO-A.ST,2025-Q4,2026-01-27,5.43,SEK
ATCO-A.ST,2026-Q1,2026-04-28,5.36,SEK
ATCO-A.ST,2026-Q2,2026-07-16,5.47,SEK
ATCO-B.ST,2024-Q1,2024-04-24,5.88,SEK
ATCO-B.ST,2024-Q2,2024-07-18,6.03,SEK
ATCO-B.ST,2024-Q3,2024-10-23,5.9,SEK
ATCO-B.ST,2024-Q4,2025-01-28,6.1,SEK
ATCO-B.ST,2025-Q1,2025-04-29,6.0,SEK
ATCO-B.ST,2025-Q2,2025-07-18,5.77,SEK
ATCO-B.ST,2025-Q3,2025-10-23,5.67,SEK
