ticker,report_period,report_date
BOL.ST,2025-Q3,2025-10-22
BOL.ST,2025-Q4,2026-02-03
BOL.ST,2026-Q1,2026-04-28
BOL.ST,2026-Q2,2026-07-21
BORG.ST,2024-Q1,2024-05-16
BORG.ST,2024-Q2,2024-08-16
BORG.ST,2024-Q3,2024-08-16
BORG.ST,2024-Q4,2024-11-15
BORG.ST,2025-Q1,2025-02-20
BORG.ST,2025-Q2,2025-05-15
BORG.ST,2025-Q3,2025-08-15
BORG.ST,2025-Q4,2025-11-14
BORG.ST,2026-Q1,2026-02-13
BORG.ST,2026-Q2,2026-04-29
BRAV.ST,2024-Q1,2024-05-07
BRAV.ST,2024-Q2,2024-07-12
BRAV.ST,2024-Q3,2024-10-22
BRAV.ST,2024-Q4,2025-02-11
BRAV.ST,2025-Q1,2025-05-06
BRAV.ST,2025-Q2,2025-07-11
BRAV.ST,2025-Q3,2025-10-24
BRAV.ST,2025-Q4,2026-02-18
BRAV.ST,2026-Q1,2026-05-05
BRAV.ST,2026-Q2,2026-07-13
BTS-B.ST,2024-Q1,2024-05-03
BTS-B.ST,2024-Q2,2024-08-15
BTS-B.ST,2024-Q3,2024-11-08
BTS-B.ST,2024-Q4,2025-02-26
BTS-B.ST,2025-Q1,2025-05-16
BTS-B.ST,2025-Q2,2025-08-22
BTS-B.ST,2025-Q3,2025-11-12
BTS-B.ST,2025-Q4,2026-02-20
BTS-B.ST,2026-Q1,2026-05-21
BTS-B.ST,2026-Q2,2026-08-14
CAST.ST,2024-Q1,2024-05-03
CAST.ST,2024-Q2,2024-07-16
CAST.ST,2024-Q3,2024-10-25
CAST.ST,2024-Q4,2025-02-19
CAST.ST,2025-Q1,2025-05-05
CAST.ST,2025-Q2,2025-07-14
CAST.ST,2025-Q3,2025-10-23
CAST.ST,2025-Q4,2026-02-18
CAST.ST,2026-Q1,2026-04-24
CAST.ST,2026-Q2,2026-07-15
CATE.ST,2024-Q1,2024-04-25
CATE.ST,2024-Q2,2024-07-05
CATE.ST,2024-Q3,2024-10-25
CATE.ST,2024-Q4,2025-02-20
CATE.ST,2025-Q1,2025-04-28
CATE.ST,2025-Q2,2025-07-04
CATE.ST,2025-Q3,2025-10-24
CATE.ST,2025-Q4,2026-02-20
CATE.ST,2026-Q1,2026-04-23
CATE.ST,2026-Q2,2026-07-06
CIBUS.ST,2024-Q1,2024-04-23
CIBUS.ST,2024-Q2,2024-07-17
CIBUS.ST,2024-Q3,2024-11-05
CIBUS.ST,2024-Q4,2025-02-19
CIBUS.ST,2025-Q1,2025-04-23
CIBUS.ST,2025-Q2,2025-07-17
CIBUS.ST,2025-Q3,2025-11-04
CIBUS.ST,2025-Q4,2026-03-19
CIBUS.ST,2026-Q1,2026-04-29
CIBUS.ST,2026-Q2,2026-07-16
CLA-B.ST,2024-Q1,2024-04-26
CLA-B.ST,2024-Q2,2024-07-12
CLA-B.ST,2024-Q3,2024-10-25
CLA-B.ST,2024-Q4,2025-01-29
CLA-B.ST,2025-Q1,2025-05-07
CLA-B.ST,2025-Q2,2025-07-17
CLA-B.ST,2025-Q3,2025-11-05
CLA-B.ST,2025-Q4,2026-02-04
CLA-B.ST,2026-Q1,2026-05-06
CLA-B.ST,2026-Q2,2026-07-15
CLAS-B.ST,2024-Q3,2024-03-06
CLAS-B.ST,2024-Q4,2024-06-05
CLAS-B.ST,2025-Q1,2024-09-04
CLAS-B.ST,2025-Q2,2024-12-04
CLAS-B.ST,2025-Q3,2025-03-12
CLAS-B.ST,2025-Q4,2025-06-12
CLAS-B.ST,2026-Q1,2025-09-10
CLAS-B.ST,2026-Q2,2025-12-10
CLAS-B.ST,2026-Q3,2026-03-11
CLAS-B.ST,2026-Q4,2026-06-03
COOR.ST,2024-Q1,2024-04-24
COOR.ST,2024-Q2,2024-07-12
COOR.ST,2024-Q3,2024-10-24
COOR.ST,2024-Q4,2025-02-06
COOR.ST,2025-Q1,2025-04-23
COOR.ST,2025-Q2,2025-07-14
COOR.ST,2025-Q3,2025-10-23
COOR.ST,2025-Q4,2026-02-11
COOR.ST,2026-Q1,2026-04-22
COOR.ST,2026-Q2,2026-07-15
CTT.ST,2024-Q1,2024-04-26
CTT.ST,2024-Q2,2024-07-19
CTT.ST,2024-Q3,2024-10-25
CTT.ST,2024-Q4,2025-02-07
CTT.ST,2025-Q1,2025-04-25
CTT.ST,2025-Q2,2025-07-18
CTT.ST,2025-Q3,2025-10-24
CTT.ST,2025-Q4,2026-02-06
CTT.ST,2026-Q1,2026-04-28
CTT.ST,2026-Q2,2026-07-21
DIOS.ST,2024-Q1,2024-04-26
DIOS.ST,2024-Q2,2024-07-05
DIOS.ST,2024-Q3,2024-10-25
DIOS.ST,2024-Q4,2025-02-14
DIOS.ST,2025-Q1,2025-04-29
DIOS.ST,2025-Q2,2025-07-04
DIOS.ST,2025-Q3,2025-10-24
DIOS.ST,2025-Q4,2026-02-13
DIOS.ST,2026-Q1,2026-04-29
DIOS.ST,2026-Q2,2026-07-06
DOM.ST,2024-Q1,2024-04-19
DOM.ST,2024-Q2,2024-07-18
DOM.ST,2024-Q3,2024-10-23
DOM.ST,2024-Q4,2025-01-29
DOM.ST,2025-Q1,2025-04-24
DOM.ST,2025-Q2,2025-07-15
DOM.ST,2025-Q3,2025-10-23
DOM.ST,2025-Q4,2026-01-28
DOM.ST,2026-Q1,2026-04-23
DOM.ST,2026-Q2,2026-07-14
DUNI.ST,2024-Q1,2024-04-24
DUNI.ST,2024-Q2,2024-07-12
DUNI.ST,2024-Q3,2024-10-24
DUNI.ST,2024-Q4,2025-02-11
DUNI.ST,2025-Q1,2025-04-25
DUNI.ST,2025-Q2,2025-07-11
DUNI.ST,2025-Q3,2025-10-24
DUNI.ST,2025-Q4,2026-02-06
DUNI.ST,2026-Q1,2026-04-24
DUNI.ST,2026-Q2,2026-07-14
DYVOX.ST,2024-Q1,2024-04-23
DYVOX.ST,2024-Q2,2024-07-18
DYVOX.ST,2024-Q3,2024-10-23
DYVOX.ST,2024-Q4,2025-02-05
DYVOX.ST,2025-Q1,2025-04-25
DYVOX.ST,2025-Q2,2025-07-18
DYVOX.ST,2025-Q3,2025-10-23
DYVOX.ST,2025-Q4,2026-02-05
DYVOX.ST,2026-Q1,2026-04-24
DYVOX.ST,2026-Q2,2026-07-22
EAST.ST,2024-Q1,2024-04-24
EAST.ST,2024-Q2,2024-07-04
EAST.ST,2024-Q3,2024-10-24
EAST.ST,2024-Q4,2025-02-05
EAST.ST,2025-Q1,2025-04-28
EAST.ST,2025-Q2,2025-07-07
EAST.ST,2025-Q3,2025-10-23
EAST.ST,2025-Q4,2026-02-05
EAST.ST,2026-Q1,2026-04-28
EAST.ST,2026-Q2,2026-07-07
EKTA-B.ST,2024-Q3,2024-02-29
EKTA-B.ST,2024-Q4,2024-06-05
EKTA-B.ST,2025-Q1,2024-08-28
EKTA-B.ST,2025-Q2,2024-11-27
EKTA-B.ST,2025-Q3,2025-02-20
EKTA-B.ST,2025-Q4,2025-05-28
EKTA-B.ST,2026-Q1,2025-08-27
EKTA-B.ST,2026-Q2,2025-11-26
EKTA-B.ST,2026-Q3,2026-03-05
EKTA-B.ST,2026-Q4,2026-05-28
EMBRAC-B.ST,2024-Q4,2024-05-23
EMBRAC-B.ST,2025-Q1,2024-08-15
