ticker,period_end,report_date,report_lag_days,eps_ttm,currency,alignment_status,eps_source,date_status
EKTA-B.ST,2023-10-31,2023-11-30,30,3.52,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EKTA-B.ST,2024-01-31,2024-02-29,29,3.75,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EKTA-B.ST,2024-04-30,2024-06-05,36,3.41,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EKTA-B.ST,2024-07-31,2024-08-28,28,2.97,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EKTA-B.ST,2024-10-31,2024-11-27,27,2.63,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EKTA-B.ST,2025-01-31,2025-02-20,20,2.72,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EKTA-B.ST,2025-07-31,2025-08-27,27,0.72,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EKTA-B.ST,2025-10-31,2025-11-26,26,0.76,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EKTA-B.ST,2026-01-31,2026-03-05,33,-0.1,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EKTA-B.ST,2026-04-30,2026-05-28,28,-1.36,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EMBRAC-B.ST,2023-09-30,2023-11-16,47,3.49,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EMBRAC-B.ST,2023-12-31,2024-02-15,46,0.61,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EMBRAC-B.ST,2024-03-31,2024-05-23,53,-15.28,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EMBRAC-B.ST,2024-06-30,2024-08-15,46,-19.07,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EMBRAC-B.ST,2024-09-30,2024-11-14,45,-18.82,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
EMBRAC-B.ST,2024-12-31,2025-02-13,44,-91.8,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
