ticker,period_end,report_date,observed_date,eps_ttm,eps_currency,source
INVE-A.ST,2026-06-30,2018-01-23,2026-08-15,85.69,SEK,Yahoo Finance / trailingDilutedEPS
INWI.ST,2026-06-30,2026-07-14,2026-08-15,9.1,SEK,Yahoo Finance / trailingDilutedEPS
KAMBI.ST,2026-06-30,2026-07-22,2026-08-15,0.413,EUR,Yahoo Finance / trailingDilutedEPS
KNOW.ST,2026-06-30,2026-07-16,2026-08-15,-10.62,SEK,Yahoo Finance / trailingDilutedEPS
LAGR-B.ST,2026-06-30,2026-07-17,2026-08-15,6.07,SEK,Yahoo Finance / trailingDilutedEPS
LIFCO-B.ST,2026-06-30,2026-07-14,2026-08-15,8.48,SEK,Yahoo Finance / trailingDilutedEPS
LIME.ST,2026-06-30,2026-07-14,2026-08-15,8.98,SEK,Yahoo Finance / trailingDilutedEPS
LOOMIS.ST,2026-06-30,2026-07-24,2026-08-15,27.6,SEK,Yahoo Finance / trailingDilutedEPS
LUMI.ST,2026-06-30,2026-08-05,2026-08-15,1.75,USD,Yahoo Finance / trailingDilutedEPS
MCAP.ST,2026-06-30,2026-07-20,2026-08-15,16.1,SEK,Yahoo Finance / trailingDilutedEPS
MCOV-B.ST,2026-06-30,2026-07-21,2026-08-15,0.559,EUR,Yahoo Finance / trailingDilutedEPS
MSAB-B.ST,2026-06-30,2026-04-28,2026-08-15,3.76,SEK,Yahoo Finance / trailingDilutedEPS
MTG-B.ST,2026-06-30,2026-07-21,2026-08-15,1.43,SEK,Yahoo Finance / trailingDilutedEPS
MTRS.ST,2026-06-30,2026-07-17,2026-08-15,2.68,SEK,Yahoo Finance / trailingDilutedEPS
MYCR.ST,2026-06-30,2026-07-13,2026-08-15,8.88,SEK,Yahoo Finance / trailingDilutedEPS
NDA-SE.ST,2026-06-30,2026-07-15,2026-08-15,1.37,EUR,Yahoo Finance / trailingDilutedEPS
NEWA-B.ST,2026-03-31,2026-04-23,2026-08-15,5.78,SEK,Yahoo Finance / trailingDilutedEPS
NIBE-B.ST,2026-03-31,2026-05-19,2026-08-15,1.19,SEK,Yahoo Finance / trailingDilutedEPS
NMAN.ST,2026-06-30,2026-07-15,2026-08-15,6.99,SEK,Yahoo Finance / trailingDilutedEPS
NOLA-B.ST,2026-06-30,2026-07-16,2026-08-15,2.65,SEK,Yahoo Finance / trailingDilutedEPS
NORION.ST,2026-06-30,2026-04-23,2026-08-15,6.04,SEK,Yahoo Finance / trailingDilutedEPS
PACT.ST,2026-06-30,2026-07-16,2026-08-15,7.51,SEK,Yahoo Finance / trailingDilutedEPS
PEAB-B.ST,2026-06-30,2026-07-13,2026-08-15,7.27,SEK,Yahoo Finance / trailingDilutedEPS
PLAZ-B.ST,2026-06-30,2026-07-02,2026-08-15,6.15,SEK,Yahoo Finance / trailingDilutedEPS
PNDX-B.ST,2026-06-30,2026-07-14,2026-08-15,16.37,SEK,Yahoo Finance / trailingDilutedEPS
REJL-B.ST,2026-06-30,2026-07-15,2026-08-15,7.52,SEK,Yahoo Finance / trailingDilutedEPS
SAAB-B.ST,2026-06-30,2026-07-16,2026-08-15,13.14,SEK,Yahoo Finance / trailingDilutedEPS
SAGA-A.ST,2026-06-30,2012-10-25,2026-08-15,15.08,SEK,Yahoo Finance / trailingDilutedEPS
SAVE.ST,2026-06-30,2026-07-16,2026-08-15,12.97,SEK,Yahoo Finance / trailingDilutedEPS
SCA-B.ST,2026-06-30,2026-07-21,2026-08-15,3.16,SEK,Yahoo Finance / trailingDilutedEPS
SCST.ST,2026-06-30,2026-07-16,2026-08-15,6.65,SEK,Yahoo Finance / trailingDilutedEPS
SEB-A.ST,2026-06-30,2026-07-15,2026-08-15,15.68,SEK,Yahoo Finance / trailingDilutedEPS
SECARE.ST,2026-06-30,2026-07-21,2026-08-15,0.5,SEK,Yahoo Finance / trailingDilutedEPS
SECT-B.ST,2026-04-30,2026-06-05,2026-08-15,2.93,SEK,Yahoo Finance / trailingDilutedEPS
SECU-B.ST,2026-06-30,2026-07-23,2026-08-15,9.75,SEK,Yahoo Finance / trailingDilutedEPS
SFAST.ST,2026-06-30,2026-02-19,2026-08-15,1.46,SEK,Yahoo Finance / trailingDilutedEPS
SHB-A.ST,2026-06-30,2026-07-14,2026-08-15,11.83,SEK,Yahoo Finance / trailingDilutedEPS
SHOT.ST,2026-06-30,2026-07-14,2026-08-15,3.37,SEK,Yahoo Finance / trailingDilutedEPS
SINT.ST,2026-03-31,2026-02-17,2026-08-15,3.14,SEK,Yahoo Finance / trailingDilutedEPS
SOBI.ST,2026-06-30,2026-07-15,2026-08-15,3.92,SEK,Yahoo Finance / trailingDilutedEPS
SVED-B.ST,2026-06-30,2026-04-23,2026-08-15,4.02,SEK,Yahoo Finance / trailingDilutedEPS
SWEC-A.ST,2026-06-30,,2026-08-15,6.3,SEK,Yahoo Finance / trailingDilutedEPS
SWEC-B.ST,2026-06-30,2026-07-17,2026-08-15,6.3,SEK,Yahoo Finance / trailingDilutedEPS
SWED-A.ST,2026-06-30,2026-07-16,2026-08-15,27.6,SEK,Yahoo Finance / trailingDilutedEPS
SYSR.ST,2026-04-30,2026-06-10,2026-08-15,3.67,SEK,Yahoo Finance / trailingDilutedEPS
TEL2-B.ST,2026-06-30,2026-07-15,2026-08-15,14.5,SEK,Yahoo Finance / trailingDilutedEPS
THULE.ST,2026-06-30,2026-07-19,2026-08-15,10.8,SEK,Yahoo Finance / trailingDilutedEPS
TREL-B.ST,2026-06-30,2026-07-15,2026-08-15,16.85,SEK,Yahoo Finance / trailingDilutedEPS
VBG-B.ST,2026-06-30,2026-07-17,2026-08-15,16.41,SEK,Yahoo Finance / trailingDilutedEPS
VIT-B.ST,2026-06-30,2026-07-14,2026-08-15,11.7,SEK,Yahoo Finance / trailingDilutedEPS
VITR.ST,2026-06-30,2026-07-15,2026-08-15,-36.8,SEK,Yahoo Finance / trailingDilutedEPS
VIVA.ST,2026-03-31,2025-11-20,2026-08-15,2.37,SEK,Yahoo Finance / trailingDilutedEPS
VOLV-A.ST,2026-06-30,,2026-08-15,17.62,SEK,Yahoo Finance / trailingDilutedEPS
WALL-B.ST,2026-06-30,2026-07-06,2026-08-15,4.1,SEK,Yahoo Finance / trailingDilutedEPS
WIHL.ST,2026-06-30,2025-10-23,2026-08-15,7.11,SEK,Yahoo Finance / trailingDilutedEPS
ZZ-B.ST,2026-03-31,2025-11-19,2026-08-15,9.85,SEK,Yahoo Finance / trailingDilutedEPS
